time,x,y,z,roll,pitch,yaw
0.34200,0.00000,0.00000,0.00000,0.00000,-0.00000,0.00000
0.34300,0.00000,0.00000,0.22192,-0.00000,0.00000,0.00000
0.34400,-0.00000,0.00000,0.22192,-0.00000,-0.00000,-0.00000
0.34500,0.00000,-0.00000,0.22192,0.00001,0.00000,-0.00000
0.34600,-0.00000,-0.00000,0.22192,0.00000,-0.00000,-0.00000
0.34700,-0.00000,0.00000,0.22192,-0.00001,-0.00000,0.00000
0.34800,0.00000,-0.00000,0.22192,0.00002,0.00000,0.00000
0.34900,-0.00000,-0.00000,0.22192,0.00000,-0.00000,0.00000
0.35000,-0.00000,0.00000,0.22192,-0.00001,-0.00000,0.00000
0.35100,0.00000,-0.00000,0.22191,0.00002,0.00000,0.00000
0.35200,-0.00000,-0.00000,0.22192,0.00000,-0.00000,0.00000
0.35300,-0.00000,0.00000,0.22192,-0.00001,-0.00000,0.00000
0.35400,0.00000,-0.00000,0.22191,0.00002,0.00000,0.00000
0.35500,-0.00000,-0.00000,0.22192,0.00000,-0.00000,0.00000
0.35600,-0.00000,0.00000,0.22192,-0.00001,-0.00000,0.00000
0.35700,0.00000,-0.00000,0.22191,0.00002,0.00000,0.00000
0.35800,-0.00000,-0.00000,0.22192,0.00000,-0.00000,0.00000
0.35900,-0.00000,0.00000,0.22192,-0.00001,-0.00000,0.00000
0.36000,0.00000,-0.00000,0.22191,0.00002,0.00000,0.00000
0.36100,-0.00000,-0.00000,0.22192,0.00000,-0.00000,0.00000
0.36200,-0.00000,0.00000,0.22192,-0.00001,-0.00000,0.00000
0.36300,0.00000,-0.00000,0.22191,0.00002,0.00000,0.00000
0.36400,-0.00000,-0.00000,0.22192,0.00000,-0.00000,0.00000
0.36500,-0.00000,0.00000,0.22192,-0.00001,-0.00000,0.00000
0.36600,0.00000,-0.00000,0.22191,0.00002,0.00000,0.00000
0.36700,-0.00000,-0.00000,0.22192,0.00000,-0.00000,0.00000
0.36800,-0.00000,0.00000,0.22192,-0.00001,-0.00000,0.00000
0.36900,0.00000,-0.00000,0.22191,0.00002,0.00000,0.00000
0.37000,-0.00000,-0.00000,0.22192,0.00000,-0.00000,0.00000
